id,course_id_real,course_prohibido,n_fuentes,cursos_devueltos,fuga
A01,3518,4451,0,,0
A02,101442,3043,0,,0
A03,118566,2966,0,,0
A04,4451,3518,0,,0
A05,3043,101442,0,,0
A06,2966,118566,0,,0
A07,131181,101439,0,,0
A08,129853,118997,0,,0
A09,3518,131181,0,,0
A10,101442,118788,0,,0
A11,118788,129853,0,,0
A12,2966,124054,0,,0
A13,3043,4451,0,,0
A14,3518,101439,0,,0
A15,118566,2966,0,,0
A16,124054,101442,0,,0
A17,4451,118997,0,,0
A18,101439,124054,0,,0
A19,129853,118788,0,,0
A20,131181,129853,0,,0
